"Year","Ndays","Ndets","ID","CamNum_Redux"
2018,62,1,1200,578
2017,121,8,1121,579
2018,101,9,1121,579
2017,83,10,1043,580
2017,121,1,1200,581
2017,67,3,3433,582
2018,121,1,3433,582
2018,121,2,3433,583
2018,103,0,4939,584
2017,121,5,1043,585
2018,66,2,1043,585
2017,83,6,1043,586
2017,121,2,1122,587
2018,112,7,1122,587
2017,121,3,1122,588
2018,30,1,1044,589
2018,121,4,288,590
2017,3,0,2260,591
2018,45,1,2260,591
2018,121,0,3726,592
2018,102,0,5102,593
2018,121,1,3797,594
2018,106,0,3726,595
2016,39,0,3434,596
2017,68,2,1044,597
2018,27,0,1044,597
2018,71,0,3797,598
2018,121,0,3797,599
2018,94,1,523,600
2018,72,1,3726,601
2017,24,0,3726,602
2017,15,0,2174,603
2018,101,1,2174,603
2017,40,1,1201,604
2018,121,5,1201,604
2017,69,0,1122,605
2018,121,0,1122,605
2017,121,1,1201,606
2017,2,0,3116,607
2017,121,9,1122,608
2018,38,1,1122,608
2017,121,5,1122,609
2018,109,10,1122,609
2017,121,3,1201,610
2017,121,5,1044,611
2018,121,2,1044,611
2018,121,0,3116,612
2017,44,3,1044,613
2018,95,1,1044,613
2017,23,0,5318,614
2017,17,2,1044,615
2018,88,10,1044,615
2018,80,1,3726,616
2018,121,0,3938,617
2017,84,4,1044,618
2018,48,1,1044,618
2018,50,0,3797,619
2018,69,1,3797,620
2017,39,1,1044,621
2018,121,8,1044,621
2017,121,2,1201,622
2018,52,0,1201,622
2017,40,3,1201,623
2018,77,3,1201,623
2018,121,2,3868,624
2017,35,1,1122,625
2018,32,0,1044,626
2017,121,6,1201,627
2018,82,3,1201,627
2017,117,0,1044,628
2017,22,0,3434,629
2018,24,0,3434,629
2018,90,1,1122,630
2017,45,1,1122,631
2018,121,0,1122,631
2017,49,0,1122,632
2018,121,1,3726,633
2017,83,9,1044,634
2018,121,9,1044,634
2018,115,1,3279,635
2018,100,0,5049,636
2017,68,3,1044,637
2018,60,11,288,638
2018,87,0,3938,639
2015,121,0,3797,640
2016,30,0,3797,640
2017,43,0,3797,640
2017,28,0,3797,641
2018,103,1,3797,641
2018,121,0,3726,642
2015,121,1,3726,643
2016,121,0,3726,643
2017,121,0,3726,643
2018,121,0,3868,644
2015,96,0,3868,645
2016,3,0,3868,645
2017,89,1,3868,645
2015,121,1,3726,646
2016,59,1,3726,646
2017,98,0,3726,646
2018,10,0,3726,646
2016,4,0,3655,647
2017,50,0,3655,647
2018,121,0,3655,647
2017,76,7,970,648
2018,111,3,970,648
2017,39,1,2864,649
2018,16,0,2864,649
2015,121,0,3655,650
2016,121,0,3655,650
2018,46,0,3655,651
2017,121,6,1201,652
2018,121,4,1201,652
2015,121,2,3868,653
2016,112,1,3868,653
2017,121,1,3868,653
2018,121,1,3868,653
2016,104,0,4828,654
2016,18,0,3797,655
2017,100,1,3797,655
2017,35,1,1122,656
2017,60,0,4828,657
2018,13,0,4828,657
